"id","level","cvss","title","Vulnerability","Solution","reference"
994,"CRITICAL","10","Title - 994","Vulnerability - 994","Solution - 994","reference - 994"
995,"HIGH","7.8","Title - 995","Vulnerability - 995","Solution - 995","reference - 995"
996,"MEDIUM","8.5","Title - 996","Vulnerability - 996","Solution - 996","reference - 996"
997,"MEDIUM","7.6","Title - 997","Vulnerability - 997","Solution - 997","reference - 997"
998,"MEDIUM","6.4","Title - 998","Vulnerability - 998","Solution - 998","reference - 998"
999,"LOW","2.6","Title - 999","Vulnerability - 999","Solution - 999","reference - 999"
1000,"HIGH","7.2","Title - 1000","Vulnerability - 1000","Solution - 1000","reference - 1000"
1001,"HIGH","7.2","Title - 1001","Vulnerability - 1001","Solution - 1001","reference - 1001"
1002,"MEDIUM","4.6","Title - 1002","Vulnerability - 1002","Solution - 1002","reference - 1002"
1003,"HIGH","9","Title - 1003","Vulnerability - 1003","Solution - 1003","reference - 1003"
1004,"HIGH","8.5","Title - 1004","Vulnerability - 1004","Solution - 1004","reference - 1004"
1005,"LOW","0","Title - 1005","Vulnerability - 1005","Solution - 1005","reference - 1005"
1006,"CRITICAL","10","Title - 1006","Vulnerability - 1006","Solution - 1006","reference - 1006"
1007,"CRITICAL","10","Title - 1007","Vulnerability - 1007","Solution - 1007","reference - 1007"
1008,"CRITICAL","10","Title - 1008","Vulnerability - 1008","Solution - 1008","reference - 1008"
1009,"LOW","4.3","Title - 1009","Vulnerability - 1009","Solution - 1009","reference - 1009"
1010,"CRITICAL","10","Title - 1010","Vulnerability - 1010","Solution - 1010","reference - 1010"
1011,"CRITICAL","10","Title - 1011","Vulnerability - 1011","Solution - 1011","reference - 1011"
1012,"INFO","0","Title - 1012","Vulnerability - 1012","Solution - 1012","reference - 1012"
1013,"LOW","0","Title - 1013","Vulnerability - 1013","Solution - 1013","reference - 1013"
1014,"INFO","0","Title - 1014","Vulnerability - 1014","Solution - 1014","reference - 1014"
1015,"LOW","5","Title - 1015","Vulnerability - 1015","Solution - 1015","reference - 1015"
1016,"LOW","5","Title - 1016","Vulnerability - 1016","Solution - 1016","reference - 1016"
1017,"LOW","4.3","Title - 1017","Vulnerability - 1017","Solution - 1017","reference - 1017"
1018,"HIGH","10","Title - 1018","Vulnerability - 1018","Solution - 1018","reference - 1018"
1019,"LOW","4.3","Title - 1019","Vulnerability - 1019","Solution - 1019","reference - 1019"
1020,"HIGH","7.2","Title - 1020","Vulnerability - 1020","Solution - 1020","reference - 1020"
1021,"MEDIUM","4","Title - 1021","Vulnerability - 1021","Solution - 1021","reference - 1021"
1022,"HIGH","7.2","Title - 1022","Vulnerability - 1022","Solution - 1022","reference - 1022"
1023,"HIGH","7.1","Title - 1023","Vulnerability - 1023","Solution - 1023","reference - 1023"
1024,"HIGH","7.8","Title - 1024","Vulnerability - 1024","Solution - 1024","reference - 1024"
1025,"HIGH","10","Title - 1025","Vulnerability - 1025","Solution - 1025","reference - 1025"
1026,"LOW","2.1","Title - 1026","Vulnerability - 1026","Solution - 1026","reference - 1026"
1027,"MEDIUM","5","Title - 1027","Vulnerability - 1027","Solution - 1027","reference - 1027"
1028,"MEDIUM","6.8","Title - 1028","Vulnerability - 1028","Solution - 1028","reference - 1028"
1029,"HIGH","5","Title - 1029","Vulnerability - 1029","Solution - 1029","reference - 1029"
1030,"HIGH","7.2","Title - 1030","Vulnerability - 1030","Solution - 1030","reference - 1030"
1031,"HIGH","10","Title - 1031","Vulnerability - 1031","Solution - 1031","reference - 1031"
1032,"MEDIUM","6.9","Title - 1032","Vulnerability - 1032","Solution - 1032","reference - 1032"
1033,"HIGH","7.8","Title - 1033","Vulnerability - 1033","Solution - 1033","reference - 1033"
1034,"HIGH","4.3","Title - 1034","Vulnerability - 1034","Solution - 1034","reference - 1034"
1035,"MEDIUM","5","Title - 1035","Vulnerability - 1035","Solution - 1035","reference - 1035"
1036,"MEDIUM","5","Title - 1036","Vulnerability - 1036","Solution - 1036","reference - 1036"
1037,"HIGH","7.8","Title - 1037","Vulnerability - 1037","Solution - 1037","reference - 1037"
1038,"MEDIUM","5","Title - 1038","Vulnerability - 1038","Solution - 1038","reference - 1038"
1039,"MEDIUM","6.8","Title - 1039","Vulnerability - 1039","Solution - 1039","reference - 1039"
1040,"MEDIUM","5","Title - 1040","Vulnerability - 1040","Solution - 1040","reference - 1040"
1041,"MEDIUM","4.3","Title - 1041","Vulnerability - 1041","Solution - 1041","reference - 1041"
1042,"HIGH","7.8","Title - 1042","Vulnerability - 1042","Solution - 1042","reference - 1042"
1043,"HIGH","7.8","Title - 1043","Vulnerability - 1043","Solution - 1043","reference - 1043"
1044,"MEDIUM","5","Title - 1044","Vulnerability - 1044","Solution - 1044","reference - 1044"
1045,"MEDIUM","4.3","Title - 1045","Vulnerability - 1045","Solution - 1045","reference - 1045"
1046,"HIGH","6.9","Title - 1046","Vulnerability - 1046","Solution - 1046","reference - 1046"
1047,"HIGH","7.2","Title - 1047","Vulnerability - 1047","Solution - 1047","reference - 1047"
1048,"HIGH","9","Title - 1048","Vulnerability - 1048","Solution - 1048","reference - 1048"
1049,"LOW","2.1","Title - 1049","Vulnerability - 1049","Solution - 1049","reference - 1049"
1050,"HIGH","7.8","Title - 1050","Vulnerability - 1050","Solution - 1050","reference - 1050"
1051,"HIGH","7.2","Title - 1051","Vulnerability - 1051","Solution - 1051","reference - 1051"
1052,"MEDIUM","4.3","Title - 1052","Vulnerability - 1052","Solution - 1052","reference - 1052"
1053,"HIGH","0","Title - 1053","Vulnerability - 1053","Solution - 1053","reference - 1053"
1054,"HIGH","7.2","Title - 1054","Vulnerability - 1054","Solution - 1054","reference - 1054"
1055,"HIGH","7.2","Title - 1055","Vulnerability - 1055","Solution - 1055","reference - 1055"
1056,"HIGH","7.2","Title - 1056","Vulnerability - 1056","Solution - 1056","reference - 1056"
1057,"HIGH","7.2","Title - 1057","Vulnerability - 1057","Solution - 1057","reference - 1057"
1058,"HIGH","7.2","Title - 1058","Vulnerability - 1058","Solution - 1058","reference - 1058"
1059,"MEDIUM","6.8","Title - 1059","Vulnerability - 1059","Solution - 1059","reference - 1059"
1060,"MEDIUM","4.3","Title - 1060","Vulnerability - 1060","Solution - 1060","reference - 1060"
1061,"HIGH","10","Title - 1061","Vulnerability - 1061","Solution - 1061","reference - 1061"
1062,"MEDIUM","6.9","Title - 1062","Vulnerability - 1062","Solution - 1062","reference - 1062"
1063,"HIGH","7.2","Title - 1063","Vulnerability - 1063","Solution - 1063","reference - 1063"
1064,"HIGH","7.2","Title - 1064","Vulnerability - 1064","Solution - 1064","reference - 1064"
1065,"HIGH","7.5","Title - 1065","Vulnerability - 1065","Solution - 1065","reference - 1065"
1066,"HIGH","7.1","Title - 1066","Vulnerability - 1066","Solution - 1066","reference - 1066"
1067,"HIGH","10","Title - 1067","Vulnerability - 1067","Solution - 1067","reference - 1067"
1068,"HIGH","6.8","Title - 1068","Vulnerability - 1068","Solution - 1068","reference - 1068"
1069,"HIGH","6.8","Title - 1069","Vulnerability - 1069","Solution - 1069","reference - 1069"
1070,"MEDIUM","4.3","Title - 1070","Vulnerability - 1070","Solution - 1070","reference - 1070"
1071,"MEDIUM","5.8","Title - 1071","Vulnerability - 1071","Solution - 1071","reference - 1071"
1072,"MEDIUM","6","Title - 1072","Vulnerability - 1072","Solution - 1072","reference - 1072"
1073,"MEDIUM","5","Title - 1073","Vulnerability - 1073","Solution - 1073","reference - 1073"
1074,"HIGH","6.8","Title - 1074","Vulnerability - 1074","Solution - 1074","reference - 1074"
1075,"MEDIUM","5","Title - 1075","Vulnerability - 1075","Solution - 1075","reference - 1075"
1076,"MEDIUM","5","Title - 1076","Vulnerability - 1076","Solution - 1076","reference - 1076"
1077,"MEDIUM","7.8","Title - 1077","Vulnerability - 1077","Solution - 1077","reference - 1077"
1078,"MEDIUM","5.4","Title - 1078","Vulnerability - 1078","Solution - 1078","reference - 1078"
1079,"MEDIUM","6.5","Title - 1079","Vulnerability - 1079","Solution - 1079","reference - 1079"
1080,"MEDIUM","7.1","Title - 1080","Vulnerability - 1080","Solution - 1080","reference - 1080"
1081,"HIGH","5","Title - 1081","Vulnerability - 1081","Solution - 1081","reference - 1081"
1082,"MEDIUM","5.8","Title - 1082","Vulnerability - 1082","Solution - 1082","reference - 1082"
1083,"MEDIUM","5","Title - 1083","Vulnerability - 1083","Solution - 1083","reference - 1083"
1084,"HIGH","7.8","Title - 1084","Vulnerability - 1084","Solution - 1084","reference - 1084"
1085,"MEDIUM","4.3","Title - 1085","Vulnerability - 1085","Solution - 1085","reference - 1085"
1086,"HIGH","7.5","Title - 1086","Vulnerability - 1086","Solution - 1086","reference - 1086"
1087,"MEDIUM","5","Title - 1087","Vulnerability - 1087","Solution - 1087","reference - 1087"
1088,"MEDIUM","7.5","Title - 1088","Vulnerability - 1088","Solution - 1088","reference - 1088"
1089,"MEDIUM","7.5","Title - 1089","Vulnerability - 1089","Solution - 1089","reference - 1089"
1090,"MEDIUM","5","Title - 1090","Vulnerability - 1090","Solution - 1090","reference - 1090"
1091,"MEDIUM","4.3","Title - 1091","Vulnerability - 1091","Solution - 1091","reference - 1091"
1092,"MEDIUM","5","Title - 1092","Vulnerability - 1092","Solution - 1092","reference - 1092"
1093,"MEDIUM","6.4","Title - 1093","Vulnerability - 1093","Solution - 1093","reference - 1093"
1094,"MEDIUM","4.3","Title - 1094","Vulnerability - 1094","Solution - 1094","reference - 1094"
1095,"MEDIUM","5","Title - 1095","Vulnerability - 1095","Solution - 1095","reference - 1095"
1096,"LOW","4.3","Title - 1096","Vulnerability - 1096","Solution - 1096","reference - 1096"
1097,"MEDIUM","4.3","Title - 1097","Vulnerability - 1097","Solution - 1097","reference - 1097"
1098,"MEDIUM","4.3","Title - 1098","Vulnerability - 1098","Solution - 1098","reference - 1098"
1099,"MEDIUM","5","Title - 1099","Vulnerability - 1099","Solution - 1099","reference - 1099"
1100,"MEDIUM","5","Title - 1100","Vulnerability - 1100","Solution - 1100","reference - 1100"
1101,"MEDIUM","5","Title - 1101","Vulnerability - 1101","Solution - 1101","reference - 1101"
1102,"MEDIUM","5","Title - 1102","Vulnerability - 1102","Solution - 1102","reference - 1102"
1103,"HIGH","10","Title - 1103","Vulnerability - 1103","Solution - 1103","reference - 1103"
1104,"HIGH","7.6","Title - 1104","Vulnerability - 1104","Solution - 1104","reference - 1104"
1105,"HIGH","10","Title - 1105","Vulnerability - 1105","Solution - 1105","reference - 1105"
1106,"HIGH","10","Title - 1106","Vulnerability - 1106","Solution - 1106","reference - 1106"
1107,"MEDIUM","4.3","Title - 1107","Vulnerability - 1107","Solution - 1107","reference - 1107"
1108,"MEDIUM","4.3","Title - 1108","Vulnerability - 1108","Solution - 1108","reference - 1108"
1109,"MEDIUM","5","Title - 1109","Vulnerability - 1109","Solution - 1109","reference - 1109"
1110,"MEDIUM","5","Title - 1110","Vulnerability - 1110","Solution - 1110","reference - 1110"
1111,"HIGH","7.5","Title - 1111","Vulnerability - 1111","Solution - 1111","reference - 1111"
1112,"MEDIUM","5","Title - 1112","Vulnerability - 1112","Solution - 1112","reference - 1112"
1113,"HIGH","7.1","Title - 1113","Vulnerability - 1113","Solution - 1113","reference - 1113"
1114,"MEDIUM","7.5","Title - 1114","Vulnerability - 1114","Solution - 1114","reference - 1114"
1115,"HIGH","10","Title - 1115","Vulnerability - 1115","Solution - 1115","reference - 1115"
1116,"HIGH","7.8","Title - 1116","Vulnerability - 1116","Solution - 1116","reference - 1116"
1117,"MEDIUM","7.5","Title - 1117","Vulnerability - 1117","Solution - 1117","reference - 1117"
1118,"MEDIUM","6.9","Title - 1118","Vulnerability - 1118","Solution - 1118","reference - 1118"
1119,"HIGH","6.9","Title - 1119","Vulnerability - 1119","Solution - 1119","reference - 1119"
1120,"HIGH","7.2","Title - 1120","Vulnerability - 1120","Solution - 1120","reference - 1120"
1121,"MEDIUM","4.3","Title - 1121","Vulnerability - 1121","Solution - 1121","reference - 1121"
1122,"HIGH","6.8","Title - 1122","Vulnerability - 1122","Solution - 1122","reference - 1122"
1123,"HIGH","6.8","Title - 1123","Vulnerability - 1123","Solution - 1123","reference - 1123"
1124,"MEDIUM","4.7","Title - 1124","Vulnerability - 1124","Solution - 1124","reference - 1124"
1125,"LOW","2.1","Title - 1125","Vulnerability - 1125","Solution - 1125","reference - 1125"
1126,"HIGH","8.5","Title - 1126","Vulnerability - 1126","Solution - 1126","reference - 1126"
1127,"HIGH","7.2","Title - 1127","Vulnerability - 1127","Solution - 1127","reference - 1127"
1128,"HIGH","7.5","Title - 1128","Vulnerability - 1128","Solution - 1128","reference - 1128"
1129,"HIGH","7.5","Title - 1129","Vulnerability - 1129","Solution - 1129","reference - 1129"
1130,"HIGH","7.5","Title - 1130","Vulnerability - 1130","Solution - 1130","reference - 1130"
1131,"HIGH","7.5","Title - 1131","Vulnerability - 1131","Solution - 1131","reference - 1131"
1132,"MEDIUM","4","Title - 1132","Vulnerability - 1132","Solution - 1132","reference - 1132"
1133,"LOW","4.3","Title - 1133","Vulnerability - 1133","Solution - 1133","reference - 1133"
1134,"MEDIUM","4","Title - 1134","Vulnerability - 1134","Solution - 1134","reference - 1134"
1135,"HIGH","10","Title - 1135","Vulnerability - 1135","Solution - 1135","reference - 1135"
1136,"HIGH","10","Title - 1136","Vulnerability - 1136","Solution - 1136","reference - 1136"
1137,"MEDIUM","4","Title - 1137","Vulnerability - 1137","Solution - 1137","reference - 1137"
1138,"MEDIUM","5","Title - 1138","Vulnerability - 1138","Solution - 1138","reference - 1138"
1139,"MEDIUM","5.8","Title - 1139","Vulnerability - 1139","Solution - 1139","reference - 1139"
1140,"MEDIUM","5","Title - 1140","Vulnerability - 1140","Solution - 1140","reference - 1140"
1141,"HIGH","7.5","Title - 1141","Vulnerability - 1141","Solution - 1141","reference - 1141"
1142,"MEDIUM","4.3","Title - 1142","Vulnerability - 1142","Solution - 1142","reference - 1142"
1143,"HIGH","9.3","Title - 1143","Vulnerability - 1143","Solution - 1143","reference - 1143"
1144,"MEDIUM","4.3","Title - 1144","Vulnerability - 1144","Solution - 1144","reference - 1144"
1145,"HIGH","7.6","Title - 1145","Vulnerability - 1145","Solution - 1145","reference - 1145"
1146,"HIGH","8.5","Title - 1146","Vulnerability - 1146","Solution - 1146","reference - 1146"
1147,"HIGH","4.3","Title - 1147","Vulnerability - 1147","Solution - 1147","reference - 1147"
1148,"HIGH","4.3","Title - 1148","Vulnerability - 1148","Solution - 1148","reference - 1148"
1149,"HIGH","7.5","Title - 1149","Vulnerability - 1149","Solution - 1149","reference - 1149"
1150,"MEDIUM","6.4","Title - 1150","Vulnerability - 1150","Solution - 1150","reference - 1150"
1151,"MEDIUM","4.9","Title - 1151","Vulnerability - 1151","Solution - 1151","reference - 1151"
1152,"MEDIUM","4.9","Title - 1152","Vulnerability - 1152","Solution - 1152","reference - 1152"
1153,"HIGH","10","Title - 1153","Vulnerability - 1153","Solution - 1153","reference - 1153"
1154,"HIGH","7.2","Title - 1154","Vulnerability - 1154","Solution - 1154","reference - 1154"
1155,"MEDIUM","5.8","Title - 1155","Vulnerability - 1155","Solution - 1155","reference - 1155"
1156,"MEDIUM","6.9","Title - 1156","Vulnerability - 1156","Solution - 1156","reference - 1156"
1157,"HIGH","4.9","Title - 1157","Vulnerability - 1157","Solution - 1157","reference - 1157"
1158,"HIGH","4.7","Title - 1158","Vulnerability - 1158","Solution - 1158","reference - 1158"
1159,"HIGH","10","Title - 1159","Vulnerability - 1159","Solution - 1159","reference - 1159"
1160,"MEDIUM","4.9","Title - 1160","Vulnerability - 1160","Solution - 1160","reference - 1160"
1161,"LOW","1.9","Title - 1161","Vulnerability - 1161","Solution - 1161","reference - 1161"
1162,"MEDIUM","4.3","Title - 1162","Vulnerability - 1162","Solution - 1162","reference - 1162"
1163,"HIGH","7.5","Title - 1163","Vulnerability - 1163","Solution - 1163","reference - 1163"
1164,"HIGH","7.2","Title - 1164","Vulnerability - 1164","Solution - 1164","reference - 1164"
1165,"HIGH","7.2","Title - 1165","Vulnerability - 1165","Solution - 1165","reference - 1165"
1166,"MEDIUM","7.5","Title - 1166","Vulnerability - 1166","Solution - 1166","reference - 1166"
1167,"HIGH","7.8","Title - 1167","Vulnerability - 1167","Solution - 1167","reference - 1167"
1168,"MEDIUM","2.1","Title - 1168","Vulnerability - 1168","Solution - 1168","reference - 1168"
1169,"HIGH","6.6","Title - 1169","Vulnerability - 1169","Solution - 1169","reference - 1169"
1170,"HIGH","7.5","Title - 1170","Vulnerability - 1170","Solution - 1170","reference - 1170"
1171,"MEDIUM","4.3","Title - 1171","Vulnerability - 1171","Solution - 1171","reference - 1171"
1172,"HIGH","7.5","Title - 1172","Vulnerability - 1172","Solution - 1172","reference - 1172"
1173,"CRITICAL","4.6","Title - 1173","Vulnerability - 1173","Solution - 1173","reference - 1173"
1174,"CRITICAL","10","Title - 1174","Vulnerability - 1174","Solution - 1174","reference - 1174"
1175,"INFO","0","Title - 1175","Vulnerability - 1175","Solution - 1175","reference - 1175"
1176,"MEDIUM","6.4","Title - 1176","Vulnerability - 1176","Solution - 1176","reference - 1176"
1177,"HIGH","5","Title - 1177","Vulnerability - 1177","Solution - 1177","reference - 1177"
1178,"MEDIUM","5","Title - 1178","Vulnerability - 1178","Solution - 1178","reference - 1178"
1179,"CRITICAL","10","Title - 1179","Vulnerability - 1179","Solution - 1179","reference - 1179"
1180,"HIGH","10","Title - 1180","Vulnerability - 1180","Solution - 1180","reference - 1180"
1181,"CRITICAL","4.6","Title - 1181","Vulnerability - 1181","Solution - 1181","reference - 1181"
1182,"LOW","7.5","Title - 1182","Vulnerability - 1182","Solution - 1182","reference - 1182"
1183,"INFO","0","Title - 1183","Vulnerability - 1183","Solution - 1183","reference - 1183"
1184,"HIGH","3.3","Title - 1184","Vulnerability - 1184","Solution - 1184","reference - 1184"
1185,"LOW","5","Title - 1185","Vulnerability - 1185","Solution - 1185","reference - 1185"
1186,"HIGH","7.2","Title - 1186","Vulnerability - 1186","Solution - 1186","reference - 1186"
1187,"MEDIUM","6.5","Title - 1187","Vulnerability - 1187","Solution - 1187","reference - 1187"
1188,"HIGH","9.3","Title - 1188","Vulnerability - 1188","Solution - 1188","reference - 1188"
1189,"MEDIUM","6.4","Title - 1189","Vulnerability - 1189","Solution - 1189","reference - 1189"
1190,"MEDIUM","9.3","Title - 1190","Vulnerability - 1190","Solution - 1190","reference - 1190"
1191,"MEDIUM","6.5","Title - 1191","Vulnerability - 1191","Solution - 1191","reference - 1191"
1192,"MEDIUM","4.9","Title - 1192","Vulnerability - 1192","Solution - 1192","reference - 1192"
1193,"HIGH","4.9","Title - 1193","Vulnerability - 1193","Solution - 1193","reference - 1193"
1194,"HIGH","7.2","Title - 1194","Vulnerability - 1194","Solution - 1194","reference - 1194"
1195,"INFO","0","Title - 1195","Vulnerability - 1195","Solution - 1195","reference - 1195"
1196,"INFO","0","Title - 1196","Vulnerability - 1196","Solution - 1196","reference - 1196"
1197,"MEDIUM","4.3","Title - 1197","Vulnerability - 1197","Solution - 1197","reference - 1197"
1198,"HIGH","7.5","Title - 1198","Vulnerability - 1198","Solution - 1198","reference - 1198"
1199,"LOW","2.6","Title - 1199","Vulnerability - 1199","Solution - 1199","reference - 1199"
1200,"HIGH","7.5","Title - 1200","Vulnerability - 1200","Solution - 1200","reference - 1200"
1201,"MEDIUM","5","Title - 1201","Vulnerability - 1201","Solution - 1201","reference - 1201"
1202,"MEDIUM","5","Title - 1202","Vulnerability - 1202","Solution - 1202","reference - 1202"
1203,"MEDIUM","5","Title - 1203","Vulnerability - 1203","Solution - 1203","reference - 1203"
1204,"MEDIUM","5","Title - 1204","Vulnerability - 1204","Solution - 1204","reference - 1204"
1205,"MEDIUM","5","Title - 1205","Vulnerability - 1205","Solution - 1205","reference - 1205"
1206,"LOW","2.6","Title - 1206","Vulnerability - 1206","Solution - 1206","reference - 1206"
1207,"MEDIUM","5","Title - 1207","Vulnerability - 1207","Solution - 1207","reference - 1207"
1208,"MEDIUM","5","Title - 1208","Vulnerability - 1208","Solution - 1208","reference - 1208"
1209,"MEDIUM","5","Title - 1209","Vulnerability - 1209","Solution - 1209","reference - 1209"
1210,"LOW","9","Title - 1210","Vulnerability - 1210","Solution - 1210","reference - 1210"
1211,"MEDIUM","5","Title - 1211","Vulnerability - 1211","Solution - 1211","reference - 1211"
1212,"INFO","0","Title - 1212","Vulnerability - 1212","Solution - 1212","reference - 1212"
1213,"INFO","0","Title - 1213","Vulnerability - 1213","Solution - 1213","reference - 1213"
1214,"INFO","0","Title - 1214","Vulnerability - 1214","Solution - 1214","reference - 1214"
1215,"HIGH","5","Title - 1215","Vulnerability - 1215","Solution - 1215","reference - 1215"
1216,"HIGH","7.5","Title - 1216","Vulnerability - 1216","Solution - 1216","reference - 1216"
1217,"INFO","0","Title - 1217","Vulnerability - 1217","Solution - 1217","reference - 1217"
1218,"HIGH","7.5","Title - 1218","Vulnerability - 1218","Solution - 1218","reference - 1218"
1219,"MEDIUM","5","Title - 1219","Vulnerability - 1219","Solution - 1219","reference - 1219"
1220,"MEDIUM","6.8","Title - 1220","Vulnerability - 1220","Solution - 1220","reference - 1220"
1221,"HIGH","7.8","Title - 1221","Vulnerability - 1221","Solution - 1221","reference - 1221"
1222,"MEDIUM","4.9","Title - 1222","Vulnerability - 1222","Solution - 1222","reference - 1222"
1223,"HIGH","7.5","Title - 1223","Vulnerability - 1223","Solution - 1223","reference - 1223"
1224,"HIGH","7.5","Title - 1224","Vulnerability - 1224","Solution - 1224","reference - 1224"
1225,"MEDIUM","4.6","Title - 1225","Vulnerability - 1225","Solution - 1225","reference - 1225"
1226,"HIGH","7.5","Title - 1226","Vulnerability - 1226","Solution - 1226","reference - 1226"
1227,"HIGH","7.2","Title - 1227","Vulnerability - 1227","Solution - 1227","reference - 1227"
1228,"MEDIUM","6.8","Title - 1228","Vulnerability - 1228","Solution - 1228","reference - 1228"
1229,"HIGH","7.9","Title - 1229","Vulnerability - 1229","Solution - 1229","reference - 1229"
1230,"MEDIUM","5","Title - 1230","Vulnerability - 1230","Solution - 1230","reference - 1230"
1231,"HIGH","7.8","Title - 1231","Vulnerability - 1231","Solution - 1231","reference - 1231"
1232,"HIGH","7.5","Title - 1232","Vulnerability - 1232","Solution - 1232","reference - 1232"
1233,"HIGH","7.2","Title - 1233","Vulnerability - 1233","Solution - 1233","reference - 1233"
1234,"HIGH","7.5","Title - 1234","Vulnerability - 1234","Solution - 1234","reference - 1234"
1235,"HIGH","7.5","Title - 1235","Vulnerability - 1235","Solution - 1235","reference - 1235"
1236,"MEDIUM","4","Title - 1236","Vulnerability - 1236","Solution - 1236","reference - 1236"
1237,"HIGH","7.1","Title - 1237","Vulnerability - 1237","Solution - 1237","reference - 1237"
1238,"MEDIUM","6.8","Title - 1238","Vulnerability - 1238","Solution - 1238","reference - 1238"
1239,"MEDIUM","5.1","Title - 1239","Vulnerability - 1239","Solution - 1239","reference - 1239"
1240,"LOW","2.1","Title - 1240","Vulnerability - 1240","Solution - 1240","reference - 1240"
1241,"MEDIUM","5","Title - 1241","Vulnerability - 1241","Solution - 1241","reference - 1241"
1242,"MEDIUM","4.3","Title - 1242","Vulnerability - 1242","Solution - 1242","reference - 1242"
1243,"MEDIUM","5.1","Title - 1243","Vulnerability - 1243","Solution - 1243","reference - 1243"
1244,"INFO","0","Title - 1244","Vulnerability - 1244","Solution - 1244","reference - 1244"
1245,"LOW","5","Title - 1245","Vulnerability - 1245","Solution - 1245","reference - 1245"
1246,"HIGH","7.2","Title - 1246","Vulnerability - 1246","Solution - 1246","reference - 1246"
